<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;M;20130701;000000;42.7258000;43.9909000;41.9989000;43.7610000;0
EURRUB;M;20130801;000000;43.8440000;44.4480000;43.4780000;43.9940000;0
EURRUB;M;20130901;000000;43.8870000;44.1790000;42.6160000;43.8170000;0
EURRUB;M;20131001;000000;43.8200000;44.3006000;43.2044000;43.5150000;0
EURRUB;M;20131101;000000;43.5140000;45.2180000;43.0940000;45.0070000;0
EURRUB;M;20131201;000000;45.0010000;45.4120000;44.4690000;45.0800000;0
EURRUB;M;20140101;000000;45.0830000;48.2330000;44.8970000;47.4121000;0
EURRUB;M;20140201;000000;47.4040000;49.9730000;46.7915000;49.7238000;8152
EURRUB;M;20140301;000000;49.7330000;51.1000000;48.2400000;48.2410000;0
EURRUB;M;20140401;000000;48.2700000;50.1750000;48.1210000;49.3966000;0
EURRUB;M;20140501;000000;49.4100000;49.7860000;46.3095000;47.5560000;10
EURRUB;M;20140601;000000;47.5990000;47.9820000;45.6946000;46.5090000;0
EURRUB;M;20140701;000000;46.5230000;48.1700000;45.9980000;47.8380000;0
EURRUB;M;20140801;000000;47.8170000;48.9500000;47.3520000;48.6690000;0
EURRUB;M;20140901;000000;48.6401000;50.3240000;47.4980000;49.9790000;0
EURRUB;M;20141001;000000;50.0040000;55.1340000;49.5820000;53.8429000;36580
EURRUB;M;20141101;000000;53.9430000;62.9240000;53.7280000;62.5680000;1174100
EURRUB;M;20141201;000000;63.0220000;97.9070000;62.2171000;72.0110000;1161596
EURRUB;M;20150101;000000;70.2750000;81.5210000;69.0730000;77.9880000;1189131
EURRUB;M;20150201;000000;79.1556000;79.7930000;67.7390000;68.3290000;2096635
EURRUB;M;20150301;000000;69.3220000;71.3400000;61.0450000;62.3190000;2462191
EURRUB;M;20150401;000000;62.4590000;63.0170000;52.2374000;57.6160000;4397019
EURRUB;M;20150501;000000;57.9910000;58.7235000;53.5299000;57.5480000;328540
EURRUB;M;20150601;000000;57.1850000;64.8880000;57.0800000;61.4590000;1104461
EURRUB;M;20150701;000000;61.6390000;67.8490000;60.6110000;66.5530000;3900649
EURRUB;M;20150801;000000;67.8250000;83.5910000;66.4890000;72.1250000;5093079
EURRUB;M;20150901;000000;72.1050000;77.9390000;70.7410000;72.9610000;5088833
EURRUB;M;20151001;000000;72.9850000;75.3670000;67.4863000;70.1060000;5291739
EURRUB;M;20151101;000000;70.4700000;72.8560000;67.6420000;70.0730000;6978686
EURRUB;M;20151201;000000;70.0610000;81.1350000;69.8330000;79.0200000;8049234
EURRUB;M;20160101;000000;78.9790000;93.6900000;77.4429000;81.7450000;7689824
EURRUB;M;20160201;000000;82.6100000;88.5290000;81.5410000;86.7380000;2403060
