<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BZ;M;20121101;000000;107.4200000;112.2000000;104.0900000;111.1700000;1810427
BZ;M;20121201;000000;110.1000000;111.5200000;105.8000000;111.1100000;1139236
BZ;M;20130101;000000;110.1500000;115.7600000;108.9000000;114.5600000;1693942
BZ;M;20130201;000000;114.9000000;118.2900000;110.8700000;111.0000000;1826813
BZ;M;20130301;000000;109.9000000;111.2900000;106.9000000;109.8900000;1710552
BZ;M;20130401;000000;109.9100000;111.5300000;96.7500000;101.7400000;2340247
BZ;M;20130501;000000;101.5100000;105.4200000;98.3200000;100.1500000;1900382
BZ;M;20130601;000000;99.8000000;106.6700000;99.4700000;101.5000000;2124918
BZ;M;20130701;000000;101.4900000;109.1800000;101.2300000;107.7000000;1796078
BZ;M;20130801;000000;106.9100000;117.3400000;104.5900000;114.4500000;1878065
BZ;M;20130901;000000;112.2000000;114.8500000;107.2200000;108.2000000;1789282
BZ;M;20131001;000000;107.4200000;111.3000000;106.0000000;108.9000000;2131554
BZ;M;20131101;000000;108.7800000;111.6600000;103.1300000;110.1100000;2000149
BZ;M;20131201;000000;109.3000000;112.8000000;107.6100000;110.9000000;1413124
BZ;M;20140101;000000;110.7400000;111.0700000;105.0600000;105.7900000;1778507
BZ;M;20140201;000000;105.7500000;110.8200000;104.7800000;108.6500000;1593813
BZ;M;20140301;000000;108.8300000;111.8700000;105.4100000;107.7000000;1746747
BZ;M;20140401;000000;107.5500000;110.6400000;103.9600000;108.1400000;1951225
BZ;M;20140501;000000;107.5400000;111.0400000;106.3200000;109.4900000;1530457
BZ;M;20140601;000000;108.7700000;115.7100000;107.1100000;112.4000000;1967529
BZ;M;20140701;000000;112.5000000;112.6000000;105.4100000;105.5200000;2267661
BZ;M;20140801;000000;105.6000000;107.4500000;101.0700000;103.1100000;1928171
BZ;M;20140901;000000;103.1000000;103.8100000;94.2400000;94.8000000;2089763
BZ;M;20141001;000000;94.7700000;96.7800000;82.9300000;85.9600000;3311957
BZ;M;20141101;000000;86.2800000;86.9000000;68.2200000;68.3400000;2284679
BZ;M;20141201;000000;68.3000000;73.4000000;55.8100000;57.5400000;2220624
BZ;M;20150101;000000;58.0200000;58.5400000;45.1900000;52.9500000;3071410
BZ;M;20150201;000000;52.6000000;63.0000000;51.4100000;62.4800000;2994412
BZ;M;20150301;000000;62.8300000;62.9600000;52.5700000;55.1000000;2560451
BZ;M;20150401;000000;55.1700000;66.9300000;54.7000000;66.8000000;2693082
BZ;M;20150501;000000;66.7800000;69.6300000;61.2400000;65.1900000;2673781
BZ;M;20150601;000000;65.2400000;66.9400000;61.3500000;63.1400000;2643807
BZ;M;20150701;000000;63.0200000;63.6400000;51.6300000;51.8500000;2738087
BZ;M;20150801;000000;51.5500000;54.3200000;42.2300000;53.1200000;3908759
BZ;M;20150901;000000;52.9200000;53.4700000;46.7600000;48.4400000;3501234
BZ;M;20151001;000000;48.4000000;54.0500000;46.4100000;49.5000000;3169551
BZ;M;20151101;000000;49.4200000;50.9100000;43.1600000;44.5000000;3090339
BZ;M;20151201;000000;44.6200000;45.1800000;35.9800000;37.6000000;3437508
BZ;M;20160101;000000;37.8500000;38.9900000;27.1000000;35.9100000;3952620
BZ;M;20160201;000000;35.9200000;36.0500000;32.2300000;34.1300000;1239834
